(float): 0.8450964689254761, (f-d diff): 0.8224587491326172, (double): 0.0226377197928589, (d-l diff): 0.5208672040106851, (long double): 0.5435049238035440
(float): 1.2378216981887817, (f-d diff): 1.1488082180896062, (double): 0.0890134800991756, (d-l diff): 1.1988134085189119, (long double): 1.2878268886180875
(float): 0.3546791076660156, (f-d diff): 0.0223953861874123, (double): 0.3322837214786033, (d-l diff): 0.1564704521494851, (long double): 0.1758132693291182
(float): 1.0413246154785156, (f-d diff): 0.0434271442431124, (double): 0.9978974712354032, (d-l diff): 0.3873753109355095, (long double): 0.6105221602998936
(float): 0.9122276306152344, (f-d diff): 0.0919641650323415, (double): 1.0041917956475759, (d-l diff): 0.3196849209002516, (long double): 1.3238767165478275
(float): 1.1524327993392944, (f-d diff): 0.1608691040866993, (double): 0.9915636952525951, (d-l diff): 0.9540055109136555, (long double): 0.0375581843389397
(float): 0.6254271268844604, (f-d diff): 0.3912319688969761, (double): 1.0166590957814365, (d-l diff): 0.8706582100581912, (long double): 0.1460008857232454
(float): 1.3282312154769897, (f-d diff): 0.3623819834566281, (double): 0.9658492320203617, (d-l diff): 0.4457944650232966, (long double): 0.5200547669970650
(float): 0.0203304290771484, (f-d diff): 1.0444722820213310, (double): 1.0648027110984795, (d-l diff): 0.2040454748606659, (long double): 1.2688481859591453
(float): 0.0800817385315895, (f-d diff): 0.7777146651743125, (double): 0.8577964037059020, (d-l diff): 0.6123308169047622, (long double): 0.2454655868011398
(float): 0.3010877072811127, (f-d diff): 0.9226538969101590, (double): 1.2237416041912716, (d-l diff): 0.4226393198975960, (long double): 0.8011022842936756
