k,compiler,x0,variant,precise_delta
0,GCC,0.100000000000000000001,basic,5.55e-18
1,GCC,0.100000000000000000001,basic,4.44e-18
2,GCC,0.100000000000000000001,basic,8.28e-17
3,GCC,0.100000000000000000001,basic,6.57e-17
4,GCC,0.100000000000000000001,basic,6.03e-18
5,GCC,0.100000000000000000001,basic,8.08e-17
6,GCC,0.100000000000000000001,basic,3.18e-17
7,GCC,0.100000000000000000001,basic,1.32e-17
8,GCC,0.100000000000000000001,basic,4.20e-17
9,GCC,0.100000000000000000001,basic,2.17e-17
10,GCC,0.100000000000000000001,basic,2.61e-17
11,GCC,0.100000000000000000001,basic,1.06e-16
12,GCC,0.100000000000000000001,basic,2.10e-16
13,GCC,0.100000000000000000001,basic,3.25e-16
14,GCC,0.100000000000000000001,basic,2.71e-16
15,GCC,0.100000000000000000001,basic,5.46e-17
16,GCC,0.100000000000000000001,basic,6.56e-16
17,GCC,0.100000000000000000001,basic,1.80e-15
18,GCC,0.100000000000000000001,basic,1.56e-15
19,GCC,0.100000000000000000001,basic,4.79e-15
20,GCC,0.100000000000000000001,basic,1.46e-14
21,GCC,0.100000000000000000001,basic,9.58e-15
22,GCC,0.100000000000000000001,basic,3.63e-14
23,GCC,0.100000000000000000001,basic,1.15e-13
24,GCC,0.100000000000000000001,basic,1.15e-13
25,GCC,0.100000000000000000001,basic,4.03e-13
26,GCC,0.100000000000000000001,basic,8.52e-13
27,GCC,0.100000000000000000001,basic,1.50e-12
28,GCC,0.100000000000000000001,basic,3.67e-12
29,GCC,0.100000000000000000001,basic,3.72e-12
30,GCC,0.100000000000000000001,basic,1.30e-11
31,GCC,0.100000000000000000001,basic,2.70e-11
32,GCC,0.100000000000000000001,basic,4.95e-11
33,GCC,0.100000000000000000001,basic,1.15e-10
34,GCC,0.100000000000000000001,basic,1.52e-10
35,GCC,0.100000000000000000001,basic,4.74e-10
36,GCC,0.100000000000000000001,basic,4.14e-10
37,GCC,0.100000000000000000001,basic,1.50e-09
38,GCC,0.100000000000000000001,basic,3.82e-09
39,GCC,0.100000000000000000001,basic,2.91e-09
40,GCC,0.100000000000000000001,basic,1.08e-08
41,GCC,0.100000000000000000001,basic,3.11e-08
42,GCC,0.100000000000000000001,basic,4.71e-09
43,GCC,0.100000000000000000001,basic,1.88e-08
44,GCC,0.100000000000000000001,basic,7.42e-08
45,GCC,0.100000000000000000001,basic,2.83e-07
46,GCC,0.100000000000000000001,basic,9.32e-07
47,GCC,0.100000000000000000001,basic,1.31e-06
48,GCC,0.100000000000000000001,basic,3.94e-06
49,GCC,0.100000000000000000001,basic,2.13e-06
50,GCC,0.100000000000000000001,basic,8.22e-06
51,GCC,0.100000000000000000001,basic,2.81e-05
52,GCC,0.100000000000000000001,basic,5.26e-05
53,GCC,0.100000000000000000001,basic,1.19e-04
54,GCC,0.100000000000000000001,basic,1.73e-04
55,GCC,0.100000000000000000001,basic,5.08e-04
56,GCC,0.100000000000000000001,basic,1.47e-04
57,GCC,0.100000000000000000001,basic,5.82e-04
58,GCC,0.100000000000000000001,basic,2.23e-03
59,GCC,0.100000000000000000001,basic,7.47e-03
60,GCC,0.100000000000000000001,basic,1.20e-02
61,GCC,0.100000000000000000001,basic,3.25e-02
62,GCC,0.100000000000000000001,basic,1.06e-02
63,GCC,0.100000000000000000001,basic,4.16e-02
64,GCC,0.100000000000000000001,basic,1.57e-01
65,GCC,0.100000000000000000001,basic,4.90e-01
66,GCC,0.100000000000000000001,basic,4.81e-01
67,GCC,0.100000000000000000001,basic,1.17e+00
68,GCC,0.100000000000000000001,basic,1.30e-02
69,GCC,0.100000000000000000001,basic,2.84e-02
70,GCC,0.100000000000000000001,basic,4.55e-02
71,GCC,0.100000000000000000001,basic,1.23e-01
72,GCC,0.100000000000000000001,basic,3.79e-02
73,GCC,0.100000000000000000001,basic,1.47e-01
74,GCC,0.100000000000000000001,basic,5.23e-01
75,GCC,0.100000000000000000001,basic,1.25e+00
76,GCC,0.100000000000000000001,basic,1.36e-01
77,GCC,0.100000000000000000001,basic,4.20e-01
78,GCC,0.100000000000000000001,basic,3.64e-01
79,GCC,0.100000000000000000001,basic,1.03e+00
80,GCC,0.100000000000000000001,basic,6.18e-01
81,GCC,0.100000000000000000001,basic,5.93e-01
82,GCC,0.100000000000000000001,basic,1.08e+00
83,GCC,0.100000000000000000001,basic,8.18e-01
84,GCC,0.100000000000000000001,basic,1.26e+00
85,GCC,0.100000000000000000001,basic,2.53e-01
86,GCC,0.100000000000000000001,basic,8.06e-01
87,GCC,0.100000000000000000001,basic,1.10e+00
88,GCC,0.100000000000000000001,basic,1.54e-01
89,GCC,0.100000000000000000001,basic,2.28e-01
90,GCC,0.100000000000000000001,basic,6.38e-01
91,GCC,0.100000000000000000001,basic,9.42e-02
92,GCC,0.100000000000000000001,basic,2.03e-01
93,GCC,0.100000000000000000001,basic,3.31e-01
94,GCC,0.100000000000000000001,basic,8.24e-01
95,GCC,0.100000000000000000001,basic,3.42e-01
96,GCC,0.100000000000000000001,basic,2.93e-01
97,GCC,0.100000000000000000001,basic,9.11e-01
98,GCC,0.100000000000000000001,basic,1.10e+00
99,GCC,0.100000000000000000001,basic,5.16e-01
0,GCC,0.100000000000000000001,alt,5.55e-18
1,GCC,0.100000000000000000001,alt,4.44e-18
2,GCC,0.100000000000000000001,alt,8.28e-17
3,GCC,0.100000000000000000001,alt,6.57e-17
4,GCC,0.100000000000000000001,alt,6.03e-18
5,GCC,0.100000000000000000001,alt,8.08e-17
6,GCC,0.100000000000000000001,alt,3.18e-17
7,GCC,0.100000000000000000001,alt,1.32e-17
8,GCC,0.100000000000000000001,alt,4.20e-17
9,GCC,0.100000000000000000001,alt,2.17e-17
10,GCC,0.100000000000000000001,alt,2.61e-17
11,GCC,0.100000000000000000001,alt,1.06e-16
12,GCC,0.100000000000000000001,alt,2.10e-16
13,GCC,0.100000000000000000001,alt,2.55e-17
14,GCC,0.100000000000000000001,alt,7.71e-16
15,GCC,0.100000000000000000001,alt,2.55e-16
16,GCC,0.100000000000000000001,alt,1.76e-15
17,GCC,0.100000000000000000001,alt,5.20e-15
18,GCC,0.100000000000000000001,alt,3.56e-15
19,GCC,0.100000000000000000001,alt,1.36e-14
20,GCC,0.100000000000000000001,alt,4.15e-14
21,GCC,0.100000000000000000001,alt,2.73e-14
22,GCC,0.100000000000000000001,alt,1.03e-13
23,GCC,0.100000000000000000001,alt,3.27e-13
24,GCC,0.100000000000000000001,alt,3.28e-13
25,GCC,0.100000000000000000001,alt,1.15e-12
26,GCC,0.100000000000000000001,alt,2.42e-12
27,GCC,0.100000000000000000001,alt,4.27e-12
28,GCC,0.100000000000000000001,alt,1.04e-11
29,GCC,0.100000000000000000001,alt,1.06e-11
30,GCC,0.100000000000000000001,alt,3.69e-11
31,GCC,0.100000000000000000001,alt,7.67e-11
32,GCC,0.100000000000000000001,alt,1.41e-10
33,GCC,0.100000000000000000001,alt,3.26e-10
34,GCC,0.100000000000000000001,alt,4.32e-10
35,GCC,0.100000000000000000001,alt,1.35e-09
36,GCC,0.100000000000000000001,alt,1.18e-09
37,GCC,0.100000000000000000001,alt,4.27e-09
38,GCC,0.100000000000000000001,alt,1.09e-08
39,GCC,0.100000000000000000001,alt,8.27e-09
40,GCC,0.100000000000000000001,alt,3.07e-08
41,GCC,0.100000000000000000001,alt,8.84e-08
42,GCC,0.100000000000000000001,alt,1.34e-08
43,GCC,0.100000000000000000001,alt,5.34e-08
44,GCC,0.100000000000000000001,alt,2.11e-07
45,GCC,0.100000000000000000001,alt,8.06e-07
46,GCC,0.100000000000000000001,alt,2.65e-06
47,GCC,0.100000000000000000001,alt,3.72e-06
48,GCC,0.100000000000000000001,alt,1.12e-05
49,GCC,0.100000000000000000001,alt,6.06e-06
50,GCC,0.100000000000000000001,alt,2.34e-05
51,GCC,0.100000000000000000001,alt,8.01e-05
52,GCC,0.100000000000000000001,alt,1.50e-04
53,GCC,0.100000000000000000001,alt,3.37e-04
54,GCC,0.100000000000000000001,alt,4.93e-04
55,GCC,0.100000000000000000001,alt,1.45e-03
56,GCC,0.100000000000000000001,alt,4.22e-04
57,GCC,0.100000000000000000001,alt,1.67e-03
58,GCC,0.100000000000000000001,alt,6.40e-03
59,GCC,0.100000000000000000001,alt,2.13e-02
60,GCC,0.100000000000000000001,alt,3.34e-02
61,GCC,0.100000000000000000001,alt,9.26e-02
62,GCC,0.100000000000000000001,alt,1.34e-02
63,GCC,0.100000000000000000001,alt,5.29e-02
64,GCC,0.100000000000000000001,alt,2.01e-01
65,GCC,0.100000000000000000001,alt,6.56e-01
66,GCC,0.100000000000000000001,alt,9.70e-01
67,GCC,0.100000000000000000001,alt,9.42e-01
68,GCC,0.100000000000000000001,alt,6.62e-01
69,GCC,0.100000000000000000001,alt,1.61e-01
70,GCC,0.100000000000000000001,alt,3.21e-01
71,GCC,0.100000000000000000001,alt,6.06e-01
72,GCC,0.100000000000000000001,alt,1.06e+00
73,GCC,0.100000000000000000001,alt,8.56e-01
74,GCC,0.100000000000000000001,alt,1.22e+00
75,GCC,0.100000000000000000001,alt,3.79e-01
76,GCC,0.100000000000000000001,alt,1.04e+00
77,GCC,0.100000000000000000001,alt,4.04e-01
78,GCC,0.100000000000000000001,alt,3.70e-01
79,GCC,0.100000000000000000001,alt,1.05e+00
80,GCC,0.100000000000000000001,alt,7.03e-01
81,GCC,0.100000000000000000001,alt,8.57e-01
82,GCC,0.100000000000000000001,alt,8.84e-01
83,GCC,0.100000000000000000001,alt,1.46e-01
84,GCC,0.100000000000000000001,alt,6.90e-02
85,GCC,0.100000000000000000001,alt,2.62e-01
86,GCC,0.100000000000000000001,alt,8.40e-01
87,GCC,0.100000000000000000001,alt,1.23e+00
88,GCC,0.100000000000000000001,alt,3.18e-01
89,GCC,0.100000000000000000001,alt,9.21e-01
90,GCC,0.100000000000000000001,alt,5.96e-01
91,GCC,0.100000000000000000001,alt,1.34e-02
92,GCC,0.100000000000000000001,alt,3.23e-02
93,GCC,0.100000000000000000001,alt,3.60e-02
94,GCC,0.100000000000000000001,alt,1.21e-01
95,GCC,0.100000000000000000001,alt,2.06e-01
96,GCC,0.100000000000000000001,alt,5.14e-01
97,GCC,0.100000000000000000001,alt,3.52e-01
98,GCC,0.100000000000000000001,alt,9.08e-01
99,GCC,0.100000000000000000001,alt,1.11e-01
0,GCC,0.100000099999999999997,basic,9.45e-17
1,GCC,0.100000099999999999997,basic,7.11e-18
2,GCC,0.100000099999999999997,basic,9.27e-17
3,GCC,0.100000099999999999997,basic,4.51e-17
4,GCC,0.100000099999999999997,basic,1.72e-17
5,GCC,0.100000099999999999997,basic,1.25e-16
6,GCC,0.100000099999999999997,basic,4.57e-17
7,GCC,0.100000099999999999997,basic,1.27e-16
8,GCC,0.100000099999999999997,basic,3.04e-16
9,GCC,0.100000099999999999997,basic,3.80e-17
10,GCC,0.100000099999999999997,basic,2.65e-16
11,GCC,0.100000099999999999997,basic,7.97e-17
12,GCC,0.100000099999999999997,basic,1.92e-16
13,GCC,0.100000099999999999997,basic,6.46e-17
14,GCC,0.100000099999999999997,basic,9.09e-16
15,GCC,0.100000099999999999997,basic,4.49e-16
16,GCC,0.100000099999999999997,basic,2.03e-15
17,GCC,0.100000099999999999997,basic,6.09e-15
18,GCC,0.100000099999999999997,basic,5.15e-15
19,GCC,0.100000099999999999997,basic,1.86e-14
20,GCC,0.100000099999999999997,basic,4.89e-14
21,GCC,0.100000099999999999997,basic,2.62e-14
22,GCC,0.100000099999999999997,basic,1.01e-13
23,GCC,0.100000099999999999997,basic,3.48e-13
24,GCC,0.100000099999999999997,basic,6.66e-13
25,GCC,0.100000099999999999997,basic,1.44e-12
26,GCC,0.100000099999999999997,basic,2.39e-12
27,GCC,0.100000099999999999997,basic,6.28e-12
28,GCC,0.100000099999999999997,basic,3.46e-12
29,GCC,0.100000099999999999997,basic,1.33e-11
30,GCC,0.100000099999999999997,basic,4.53e-11
31,GCC,0.100000099999999999997,basic,8.11e-11
32,GCC,0.100000099999999999997,basic,1.95e-10
33,GCC,0.100000099999999999997,basic,2.18e-10
34,GCC,0.100000099999999999997,basic,7.36e-10
35,GCC,0.100000099999999999997,basic,1.24e-09
36,GCC,0.100000099999999999997,basic,3.20e-09
37,GCC,0.100000099999999999997,basic,2.07e-09
38,GCC,0.100000099999999999997,basic,7.86e-09
39,GCC,0.100000099999999999997,basic,2.50e-08
40,GCC,0.100000099999999999997,basic,2.66e-08
41,GCC,0.100000099999999999997,basic,9.14e-08
42,GCC,0.100000099999999999997,basic,1.73e-07
43,GCC,0.100000099999999999997,basic,3.82e-07
44,GCC,0.100000099999999999997,basic,6.02e-07
45,GCC,0.100000099999999999997,basic,1.66e-06
46,GCC,0.100000099999999999997,basic,3.28e-07
47,GCC,0.100000099999999999997,basic,1.31e-06
48,GCC,0.100000099999999999997,basic,5.13e-06
49,GCC,0.100000099999999999997,basic,1.89e-05
50,GCC,0.100000099999999999997,basic,5.31e-05
51,GCC,0.100000099999999999997,basic,2.93e-06
52,GCC,0.100000099999999999997,basic,1.17e-05
53,GCC,0.100000099999999999997,basic,4.67e-05
54,GCC,0.100000099999999999997,basic,1.86e-04
55,GCC,0.100000099999999999997,basic,7.25e-04
56,GCC,0.100000099999999999997,basic,2.62e-03
57,GCC,0.100000099999999999997,basic,6.68e-03
58,GCC,0.100000099999999999997,basic,5.07e-03
59,GCC,0.100000099999999999997,basic,1.88e-02
60,GCC,0.100000099999999999997,basic,5.44e-02
61,GCC,0.100000099999999999997,basic,9.17e-03
62,GCC,0.100000099999999999997,basic,3.64e-02
63,GCC,0.100000099999999999997,basic,1.42e-01
64,GCC,0.100000099999999999997,basic,5.06e-01
65,GCC,0.100000099999999999997,basic,1.26e+00
66,GCC,0.100000099999999999997,basic,2.87e-01
67,GCC,0.100000099999999999997,basic,8.97e-01
68,GCC,0.100000099999999999997,basic,1.12e+00
69,GCC,0.100000099999999999997,basic,4.43e-01
70,GCC,0.100000099999999999997,basic,7.56e-01
71,GCC,0.100000099999999999997,basic,1.26e+00
72,GCC,0.100000099999999999997,basic,6.16e-02
73,GCC,0.100000099999999999997,basic,1.91e-01
74,GCC,0.100000099999999999997,basic,1.54e-01
75,GCC,0.100000099999999999997,basic,5.41e-01
76,GCC,0.100000099999999999997,basic,1.23e+00
77,GCC,0.100000099999999999997,basic,1.43e-01
78,GCC,0.100000099999999999997,basic,3.95e-01
79,GCC,0.100000099999999999997,basic,2.88e-02
80,GCC,0.100000099999999999997,basic,9.48e-02
81,GCC,0.100000099999999999997,basic,1.36e-01
82,GCC,0.100000099999999999997,basic,3.99e-01
83,GCC,0.100000099999999999997,basic,1.52e-01
84,GCC,0.100000099999999999997,basic,4.87e-01
85,GCC,0.100000099999999999997,basic,6.17e-01
86,GCC,0.100000099999999999997,basic,1.31e+00
87,GCC,0.100000099999999999997,basic,2.52e-02
88,GCC,0.100000099999999999997,basic,9.50e-02
89,GCC,0.100000099999999999997,basic,2.94e-01
90,GCC,0.100000099999999999997,basic,2.46e-01
91,GCC,0.100000099999999999997,basic,8.02e-01
92,GCC,0.100000099999999999997,basic,1.27e+00
93,GCC,0.100000099999999999997,basic,2.03e-01
94,GCC,0.100000099999999999997,basic,6.75e-01
95,GCC,0.100000099999999999997,basic,1.15e+00
96,GCC,0.100000099999999999997,basic,5.63e-01
97,GCC,0.100000099999999999997,basic,1.19e+00
98,GCC,0.100000099999999999997,basic,4.01e-01
99,GCC,0.100000099999999999997,basic,9.78e-01
0,GCC,0.100000099999999999997,alt,9.45e-17
1,GCC,0.100000099999999999997,alt,1.07e-16
2,GCC,0.100000099999999999997,alt,9.27e-17
3,GCC,0.100000099999999999997,alt,4.51e-17
4,GCC,0.100000099999999999997,alt,1.72e-17
5,GCC,0.100000099999999999997,alt,1.25e-16
6,GCC,0.100000099999999999997,alt,4.57e-17
7,GCC,0.100000099999999999997,alt,1.27e-16
8,GCC,0.100000099999999999997,alt,3.04e-16
9,GCC,0.100000099999999999997,alt,1.38e-16
10,GCC,0.100000099999999999997,alt,2.65e-16
11,GCC,0.100000099999999999997,alt,2.03e-17
12,GCC,0.100000099999999999997,alt,8.29e-18
13,GCC,0.100000099999999999997,alt,2.35e-16
14,GCC,0.100000099999999999997,alt,8.95e-18
15,GCC,0.100000099999999999997,alt,4.92e-17
16,GCC,0.100000099999999999997,alt,6.67e-17
17,GCC,0.100000099999999999997,alt,4.10e-16
18,GCC,0.100000099999999999997,alt,4.47e-16
19,GCC,0.100000099999999999997,alt,1.52e-15
20,GCC,0.100000099999999999997,alt,3.89e-15
21,GCC,0.100000099999999999997,alt,2.23e-15
22,GCC,0.100000099999999999997,alt,8.05e-15
23,GCC,0.100000099999999999997,alt,2.78e-14
24,GCC,0.100000099999999999997,alt,5.31e-14
25,GCC,0.100000099999999999997,alt,1.15e-13
26,GCC,0.100000099999999999997,alt,1.90e-13
27,GCC,0.100000099999999999997,alt,5.00e-13
28,GCC,0.100000099999999999997,alt,2.76e-13
29,GCC,0.100000099999999999997,alt,1.06e-12
30,GCC,0.100000099999999999997,alt,3.61e-12
31,GCC,0.100000099999999999997,alt,6.47e-12
32,GCC,0.100000099999999999997,alt,1.55e-11
33,GCC,0.100000099999999999997,alt,1.74e-11
34,GCC,0.100000099999999999997,alt,5.87e-11
35,GCC,0.100000099999999999997,alt,9.85e-11
36,GCC,0.100000099999999999997,alt,2.55e-10
37,GCC,0.100000099999999999997,alt,1.65e-10
38,GCC,0.100000099999999999997,alt,6.27e-10
39,GCC,0.100000099999999999997,alt,1.99e-09
40,GCC,0.100000099999999999997,alt,2.12e-09
41,GCC,0.100000099999999999997,alt,7.29e-09
42,GCC,0.100000099999999999997,alt,1.38e-08
43,GCC,0.100000099999999999997,alt,3.04e-08
44,GCC,0.100000099999999999997,alt,4.80e-08
45,GCC,0.100000099999999999997,alt,1.32e-07
46,GCC,0.100000099999999999997,alt,2.62e-08
47,GCC,0.100000099999999999997,alt,1.04e-07
48,GCC,0.100000099999999999997,alt,4.09e-07
49,GCC,0.100000099999999999997,alt,1.51e-06
50,GCC,0.100000099999999999997,alt,4.24e-06
51,GCC,0.100000099999999999997,alt,2.34e-07
52,GCC,0.100000099999999999997,alt,9.35e-07
53,GCC,0.100000099999999999997,alt,3.74e-06
54,GCC,0.100000099999999999997,alt,1.49e-05
55,GCC,0.100000099999999999997,alt,5.80e-05
56,GCC,0.100000099999999999997,alt,2.10e-04
57,GCC,0.100000099999999999997,alt,5.32e-04
58,GCC,0.100000099999999999997,alt,4.15e-04
59,GCC,0.100000099999999999997,alt,1.54e-03
60,GCC,0.100000099999999999997,alt,4.34e-03
61,GCC,0.100000099999999999997,alt,3.24e-05
62,GCC,0.100000099999999999997,alt,1.30e-04
63,GCC,0.100000099999999999997,alt,5.19e-04
64,GCC,0.100000099999999999997,alt,2.07e-03
65,GCC,0.100000099999999999997,alt,8.28e-03
66,GCC,0.100000099999999999997,alt,3.29e-02
67,GCC,0.100000099999999999997,alt,1.28e-01
68,GCC,0.100000099999999999997,alt,4.54e-01
69,GCC,0.100000099999999999997,alt,1.08e+00
70,GCC,0.100000099999999999997,alt,2.37e-01
71,GCC,0.100000099999999999997,alt,3.13e-01
72,GCC,0.100000099999999999997,alt,9.00e-01
73,GCC,0.100000099999999999997,alt,5.22e-01
74,GCC,0.100000099999999999997,alt,9.69e-02
75,GCC,0.100000099999999999997,alt,2.67e-01
76,GCC,0.100000099999999999997,alt,4.26e-02
77,GCC,0.100000099999999999997,alt,1.56e-01
78,GCC,0.100000099999999999997,alt,4.26e-01
79,GCC,0.100000099999999999997,alt,7.05e-02
80,GCC,0.100000099999999999997,alt,2.24e-01
81,GCC,0.100000099999999999997,alt,2.34e-01
82,GCC,0.100000099999999999997,alt,7.56e-01
83,GCC,0.100000099999999999997,alt,1.10e+00
84,GCC,0.100000099999999999997,alt,4.12e-01
85,GCC,0.100000099999999999997,alt,6.14e-01
86,GCC,0.100000099999999999997,alt,1.31e+00
87,GCC,0.100000099999999999997,alt,5.75e-02
88,GCC,0.100000099999999999997,alt,2.11e-01
89,GCC,0.100000099999999999997,alt,5.80e-01
90,GCC,0.100000099999999999997,alt,1.24e-02
91,GCC,0.100000099999999999997,alt,3.08e-02
92,GCC,0.100000099999999999997,alt,2.81e-02
93,GCC,0.100000099999999999997,alt,1.01e-01
94,GCC,0.100000099999999999997,alt,2.43e-01
95,GCC,0.100000099999999999997,alt,2.53e-01
96,GCC,0.100000099999999999997,alt,8.08e-01
97,GCC,0.100000099999999999997,alt,1.12e+00
98,GCC,0.100000099999999999997,alt,1.24e-01
99,GCC,0.100000099999999999997,alt,2.00e-01
0,GCC,0.100000000000000099999,basic,1.03e-16
1,GCC,0.100000000000000099999,basic,2.86e-17
2,GCC,0.100000000000000099999,basic,1.66e-17
3,GCC,0.100000000000000099999,basic,2.24e-17
4,GCC,0.100000000000000099999,basic,1.82e-16
5,GCC,0.100000000000000099999,basic,4.07e-17
6,GCC,0.100000000000000099999,basic,2.62e-16
7,GCC,0.100000000000000099999,basic,5.19e-18
8,GCC,0.100000000000000099999,basic,1.20e-17
9,GCC,0.100000000000000099999,basic,2.52e-17
10,GCC,0.100000000000000099999,basic,4.53e-17
11,GCC,0.100000000000000099999,basic,5.70e-17
12,GCC,0.100000000000000099999,basic,4.04e-17
13,GCC,0.100000000000000099999,basic,2.73e-17
14,GCC,0.100000000000000099999,basic,1.76e-16
15,GCC,0.100000000000000099999,basic,2.16e-17
16,GCC,0.100000000000000099999,basic,6.82e-16
17,GCC,0.100000000000000099999,basic,2.06e-15
18,GCC,0.100000000000000099999,basic,1.60e-15
19,GCC,0.100000000000000099999,basic,5.41e-15
20,GCC,0.100000000000000099999,basic,1.65e-14
21,GCC,0.100000000000000099999,basic,1.09e-14
22,GCC,0.100000000000000099999,basic,4.10e-14
23,GCC,0.100000000000000099999,basic,1.30e-13
24,GCC,0.100000000000000099999,basic,1.30e-13
25,GCC,0.100000000000000099999,basic,4.54e-13
26,GCC,0.100000000000000099999,basic,9.61e-13
27,GCC,0.100000000000000099999,basic,1.70e-12
28,GCC,0.100000000000000099999,basic,4.14e-12
29,GCC,0.100000000000000099999,basic,4.20e-12
30,GCC,0.100000000000000099999,basic,1.46e-11
31,GCC,0.100000000000000099999,basic,3.04e-11
32,GCC,0.100000000000000099999,basic,5.59e-11
33,GCC,0.100000000000000099999,basic,1.29e-10
34,GCC,0.100000000000000099999,basic,1.71e-10
35,GCC,0.100000000000000099999,basic,5.35e-10
36,GCC,0.100000000000000099999,basic,4.68e-10
37,GCC,0.100000000000000099999,basic,1.69e-09
38,GCC,0.100000000000000099999,basic,4.31e-09
39,GCC,0.100000000000000099999,basic,3.28e-09
40,GCC,0.100000000000000099999,basic,1.22e-08
41,GCC,0.100000000000000099999,basic,3.51e-08
42,GCC,0.100000000000000099999,basic,5.40e-09
43,GCC,0.100000000000000099999,basic,2.15e-08
44,GCC,0.100000000000000099999,basic,8.51e-08
45,GCC,0.100000000000000099999,basic,3.24e-07
46,GCC,0.100000000000000099999,basic,1.06e-06
47,GCC,0.100000000000000099999,basic,1.41e-06
48,GCC,0.100000000000000099999,basic,4.39e-06
49,GCC,0.100000000000000099999,basic,3.76e-06
50,GCC,0.100000000000000099999,basic,1.36e-05
51,GCC,0.100000000000000099999,basic,3.55e-05
52,GCC,0.100000000000000099999,basic,2.19e-05
53,GCC,0.100000000000000099999,basic,8.34e-05
54,GCC,0.100000000000000099999,basic,2.72e-04
55,GCC,0.100000000000000099999,basic,3.54e-04
56,GCC,0.100000000000000099999,basic,1.12e-03
57,GCC,0.100000000000000099999,basic,1.07e-03
58,GCC,0.100000000000000099999,basic,3.79e-03
59,GCC,0.100000000000000099999,basic,8.58e-03
60,GCC,0.100000000000000099999,basic,1.23e-02
61,GCC,0.100000000000000099999,basic,3.66e-02
62,GCC,0.100000000000000099999,basic,1.48e-02
63,GCC,0.100000000000000099999,basic,5.80e-02
64,GCC,0.100000000000000099999,basic,2.12e-01
65,GCC,0.100000000000000099999,basic,5.69e-01
66,GCC,0.100000000000000099999,basic,1.07e-01
67,GCC,0.100000000000000099999,basic,2.71e-01
68,GCC,0.100000000000000099999,basic,2.06e-01
69,GCC,0.100000000000000099999,basic,6.95e-01
70,GCC,0.100000000000000099999,basic,1.33e+00
71,GCC,0.100000000000000099999,basic,4.22e-03
72,GCC,0.100000000000000099999,basic,1.66e-02
73,GCC,0.100000000000000099999,basic,6.13e-02
74,GCC,0.100000000000000099999,basic,1.75e-01
75,GCC,0.100000000000000099999,basic,1.85e-02
76,GCC,0.100000000000000099999,basic,7.13e-02
77,GCC,0.100000000000000099999,basic,2.45e-01
78,GCC,0.100000000000000099999,basic,4.71e-01
79,GCC,0.100000000000000099999,basic,8.85e-01
80,GCC,0.100000000000000099999,basic,1.10e+00
81,GCC,0.100000000000000099999,basic,3.17e-01
82,GCC,0.100000000000000099999,basic,4.59e-01
83,GCC,0.100000000000000099999,basic,1.15e+00
84,GCC,0.100000000000000099999,basic,8.54e-02
85,GCC,0.100000000000000099999,basic,1.65e-01
86,GCC,0.100000000000000099999,basic,3.46e-01
87,GCC,0.100000000000000099999,basic,5.84e-01
88,GCC,0.100000000000000099999,basic,1.19e+00
89,GCC,0.100000000000000099999,basic,4.62e-01
90,GCC,0.100000000000000099999,basic,1.13e+00
91,GCC,0.100000000000000099999,basic,4.75e-02
92,GCC,0.100000000000000099999,basic,8.35e-02
93,GCC,0.100000000000000099999,basic,2.04e-01
94,GCC,0.100000000000000099999,basic,2.02e-01
95,GCC,0.100000000000000099999,basic,6.70e-01
96,GCC,0.100000000000000099999,basic,1.14e+00
97,GCC,0.100000000000000099999,basic,5.97e-01
98,GCC,0.100000000000000099999,basic,1.21e+00
99,GCC,0.100000000000000099999,basic,4.16e-01
0,GCC,0.100000000000000099999,alt,1.03e-16
1,GCC,0.100000000000000099999,alt,2.86e-17
2,GCC,0.100000000000000099999,alt,1.66e-17
3,GCC,0.100000000000000099999,alt,2.24e-17
4,GCC,0.100000000000000099999,alt,1.82e-16
5,GCC,0.100000000000000099999,alt,4.07e-17
6,GCC,0.100000000000000099999,alt,2.62e-16
7,GCC,0.100000000000000099999,alt,5.19e-18
8,GCC,0.100000000000000099999,alt,1.20e-17
9,GCC,0.100000000000000099999,alt,2.52e-17
10,GCC,0.100000000000000099999,alt,4.53e-17
11,GCC,0.100000000000000099999,alt,5.70e-17
12,GCC,0.100000000000000099999,alt,4.04e-17
13,GCC,0.100000000000000099999,alt,2.73e-17
14,GCC,0.100000000000000099999,alt,2.37e-17
15,GCC,0.100000000000000099999,alt,1.78e-16
16,GCC,0.100000000000000099999,alt,1.18e-16
17,GCC,0.100000000000000099999,alt,3.39e-16
18,GCC,0.100000000000000099999,alt,9.92e-17
19,GCC,0.100000000000000099999,alt,9.87e-16
20,GCC,0.100000000000000099999,alt,2.98e-15
21,GCC,0.100000000000000099999,alt,1.94e-15
22,GCC,0.100000000000000099999,alt,7.21e-15
23,GCC,0.100000000000000099999,alt,2.30e-14
24,GCC,0.100000000000000099999,alt,2.30e-14
25,GCC,0.100000000000000099999,alt,8.07e-14
26,GCC,0.100000000000000099999,alt,1.71e-13
27,GCC,0.100000000000000099999,alt,3.01e-13
28,GCC,0.100000000000000099999,alt,7.36e-13
29,GCC,0.100000000000000099999,alt,7.45e-13
30,GCC,0.100000000000000099999,alt,2.60e-12
31,GCC,0.100000000000000099999,alt,5.41e-12
32,GCC,0.100000000000000099999,alt,9.93e-12
33,GCC,0.100000000000000099999,alt,2.30e-11
34,GCC,0.100000000000000099999,alt,3.04e-11
35,GCC,0.100000000000000099999,alt,9.51e-11
36,GCC,0.100000000000000099999,alt,8.31e-11
