(float): 0.8502998352050781, (f-d diff): 0.2466519355357888, (double): 1.0969517707408669, (d-l diff): 0.0000000000000000, (long double): 1.0969517707408669
(float): 1.2321698665618896, (f-d diff): 0.4542723455929925, (double): 0.7778975209688972, (d-l diff): 0.0000000000000000, (long double): 0.7778975209688972
(float): 0.3739519119262695, (f-d diff): 0.9222645125606517, (double): 1.2962164244869212, (d-l diff): 0.0000000000000000, (long double): 1.2962164244869212
(float): 1.0762875080108643, (f-d diff): 0.9319528673921544, (double): 0.1443346406187098, (d-l diff): 0.0000000000000000, (long double): 0.1443346406187098
(float): 0.8299655914306641, (f-d diff): 0.3151244944034212, (double): 0.5148410970272429, (d-l diff): 0.0000000000000000, (long double): 0.5148410970272429
(float): 1.2533338069915771, (f-d diff): 0.0108465155527497, (double): 1.2641803225443269, (d-l diff): 0.0000000000000000, (long double): 1.2641803225443269
(float): 0.3007984161376953, (f-d diff): 0.0385327896852230, (double): 0.2622656264524723, (d-l diff): 0.0000000000000000, (long double): 0.2622656264524723
(float): 0.9317545890808105, (f-d diff): 0.0890418597264445, (double): 0.8427127293543660, (d-l diff): 0.0000000000000000, (long double): 0.8427127293543660
(float): 1.1225185394287109, (f-d diff): 0.1178381453410982, (double): 1.2403566847698091, (d-l diff): 0.0000000000000000, (long double): 1.2403566847698091
(float): 0.7099306583404541, (f-d diff): 0.3639580356206729, (double): 0.3459726227197812, (d-l diff): 0.0000000000000000, (long double): 0.3459726227197812
(float): 1.3277180194854736, (f-d diff): 0.3029186956211609, (double): 1.0247993238643127, (d-l diff): 0.0000000000000000, (long double): 1.0247993238643127
(float): 0.0223665237426758, (f-d diff): 0.9261898091363179, (double): 0.9485563328789937, (d-l diff): 0.0000000000000000, (long double): 0.9485563328789937
(float): 0.0879653096199036, (f-d diff): 1.0069826719615382, (double): 1.0949479815814418, (d-l diff): 0.0000000000000000, (long double): 1.0949479815814418
(float): 0.3286475539207458, (f-d diff): 0.4544111252972010, (double): 0.7830586792179468, (d-l diff): 0.0000000000000000, (long double): 0.7830586792179468
(float): 0.9905625581741333, (f-d diff): 0.3021294734019879, (double): 1.2926920315761212, (d-l diff): 0.0000000000000000, (long double): 1.2926920315761212
(float): 1.0186076164245605, (f-d diff): 0.8609975556212746, (double): 0.1576100608032860, (d-l diff): 0.0000000000000000, (long double): 0.1576100608032860
(float): 0.9617459774017334, (f-d diff): 0.4058285279878360, (double): 0.5559174494138974, (d-l diff): 0.0000000000000000, (long double): 0.5559174494138974
(float): 1.0721180438995361, (f-d diff): 0.2244191220674940, (double): 1.2965371659670302, (d-l diff): 0.0000000000000000, (long double): 1.2965371659670302
(float): 0.8401608467102051, (f-d diff): 0.6970380510435392, (double): 0.1431227956666659, (d-l diff): 0.0000000000000000, (long double): 0.1431227956666659
(float): 1.2430326938629150, (f-d diff): 0.7319939151145781, (double): 0.5110387787483369, (d-l diff): 0.0000000000000000, (long double): 0.5110387787483369
(float): 0.3367400169372559, (f-d diff): 0.9239331979023169, (double): 1.2606732148395727, (d-l diff): 0.0000000000000000, (long double): 1.2606732148395727
